Individu	Height	Mass	Nb.grains	Mass.grains	Color	Sprouting.epi	Rooting	Verse	Attacked	Plot	Height.D7	Verse.Treatment	Nb.days.attacked	Censure.right
1	NA	NA	NA	NA	NA	NA	Low	NA	Yes	North	171	NA	NA	NA
2	199	1431	320	92.1	Red	No	Middle	No	No	North	196	Yes	NA	NA
3	205	1468	290	89.4	Yellow	No	Middle	Yes	No	North	198	Yes	NA	NA
4	173	1398	147	42.6	Yellow	No	Low	Yes	No	North	176	Yes	NA	NA
5	233	1622	138	43.2	Red	No	Very.high	Yes	No	North	230	Yes	NA	NA
6	206	1428	166	44.1	Yellow	No	Middle	Yes	No	North	200	No	NA	NA
7	261	1574	151	50.7	Yellow	No	Middle	Yes	No	North	266	Yes	NA	NA
8	155	1215	293	88.2	Yellow.red	No	Low	No	No	North	176	Yes	NA	NA
9	214	1457	345	108.6	Yellow.red	No	Middle	No	No	North	220	Yes	NA	NA
10	174	1368	234	78.8	Red	No	High	No	No	North	182	Yes	NA	NA
11	207	1355	142	42.9	Red	No	Middle	No	No	North	202	Yes	NA	NA
12	196	1469	301	90.4	Red	No	Middle	Yes	No	North	188	Yes	NA	NA
13	224	1474	311	99.9	Yellow	No	High	Yes	No	North	222	No	NA	NA
14	237	1599	273	84.6	Yellow	No	Middle	No	No	North	220	Yes	NA	NA
15	210	1437	307	99.6	Yellow	No	Middle	Yes	No	North	205	Yes	NA	NA
16	187	1282	303	88.8	Yellow.red	No	Low	No	No	North	187	Yes	NA	NA
17	211	1505	156	46.8	Yellow.red	No	Very.high	Yes	No	North	208	No	NA	NA
18	215	1491	278	82.8	Red	No	Middle	Yes	Yes	South	214	Yes	NA	NA
19	242	1830	288	90.6	Yellow	No	Low	Yes	No	South	231	Yes	NA	NA
20	197	1448	263	56.4	Red	No	High	No	No	South	201	No	NA	NA
21	265	1881	252	63.3	Red	No	Middle	No	No	South	250	Yes	NA	NA
